########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

46976	0.000852639
47104	0.00084436
47232	0.000767189
47360	0.000718693
47488	0.000775916
47616	0.000720703
47744	0.000671527
47872	0.000642245
48000	0.000628593
48128	0.000604076
48256	0.000565057
48384	0.000563978
48512	0.000545401
48640	0.000515194
48768	0.000523221
48896	0.00047958
49024	0.0004765
49152	0.000473794
49280	0.000460049
49408	0.000428
49536	0.00043188
49664	0.000416706
49792	0.000558771
49920	0.303063
50048	0.0698107
50176	0.0117636
50304	0.0257584
50432	0.176443
50560	0.0503423
50688	0.0042262
50816	0.0032399
50944	0.00248393
51072	0.00232294
51200	0.00184773
51328	0.00173365
51456	0.00140564
51584	0.001511
51712	0.00140801
51840	0.00119286
51968	0.00113811
52096	0.00107273
52224	0.00123218
52352	0.000989319
52480	0.000901157
52608	0.000806811
52736	0.000907572
52864	0.000866186
52992	0.000730055
53120	0.000724176
53248	0.00072073
53376	0.000712401
53504	0.000678711
53632	0.000743827
53760	0.000603141
53888	0.000608722
54016	0.000605856
54144	0.000615628
54272	0.000627081
54400	0.000545339
54528	0.000534438
54656	0.000568508
54784	0.000521093
54912	0.000519755
55040	0.00049834
55168	0.000515352
55296	0.000508925
55424	0.000481927
55552	0.000488483
55680	0.000478117
55808	0.000467379
55936	0.000465902
56064	0.000439941
56192	0.000463108
56320	0.000477822
56448	0.000450744
56576	0.000424702
56704	0.000430176
56832	0.000446917
56960	0.000426867
57088	0.000410052
57216	0.000415473
57344	0.000395963
57472	0.000378352
57600	0.000394797
57728	0.000371537
57856	0.000369061
57984	0.000351949
58112	0.000371002
58240	0.000341177
58368	0.000344143
58496	0.000325155
58624	0.000337455
58752	0.000321309
58880	0.000337429
59008	0.000317098
59136	0.000294171
59264	0.000314988
59392	0.000312994
59520	0.000288694
59648	0.000281149
59776	0.00028304
59904	0.000270758
60032	0.000263047
60160	0.000277621
60288	0.000253466
60416	0.000241633
60544	0.000241436
60672	0.000228784
60800	0.000229563
60928	0.000221685
61056	0.000212862
61184	0.000218787
61312	0.000203845
61440	0.000194486
61568	0.000193544
61696	0.000185763
61824	0.000196632
61952	0.000166645
62080	0.000167098
62208	0.000167581
62336	0.000157989
62464	0.000152181
62592	0.000146277
62720	0.00013885
62848	0.000149941
62976	0.000134862
63104	0.000123579
63232	0.000116965
63360	0.000121806
63488	0.000115125
63616	0.000115878
63744	0.000100682
63872	0.000102032
64000	9.65922e-05
64128	9.90565e-05
64256	9.37138e-05
64384	9.38959e-05
64512	8.92966e-05
64640	7.97153e-05
64768	7.67655e-05
64896	6.93854e-05
65024	6.92612e-05
65152	6.75105e-05
65280	6.47631e-05
65408	6.12382e-05
65536	5.92397e-05
65664	5.98301e-05
65792	5.37477e-05
65920	5.21622e-05
66048	5.28534e-05
66176	5.18149e-05
66304	6.5571e-05
66432	0.0802918
