########

	Model: LSTM with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

50560	0.147084
50688	0.143573
50816	0.19332
50944	0.252651
51072	0.198735
51200	0.181046
51328	0.166675
51456	0.15705
51584	0.150799
51712	0.16793
51840	0.21238
51968	0.168333
52096	0.151291
52224	0.149477
52352	0.190429
52480	0.238216
52608	0.171124
52736	0.157761
52864	0.151102
52992	0.1508
53120	0.16926
53248	0.168919
53376	0.211577
53504	0.167436
53632	0.150188
53760	0.151367
53888	0.184755
54016	0.227686
54144	0.17018
54272	0.156945
54400	0.14902
54528	0.14547
54656	0.15307
54784	0.212604
54912	0.224277
55040	0.171021
55168	0.155789
55296	0.14939
55424	0.149974
55552	0.173574
55680	0.160251
55808	0.196401
55936	0.148772
56064	0.145169
56192	0.161567
56320	0.172295
56448	0.239817
56576	0.155307
56704	0.148983
56832	0.147621
56960	0.159579
57088	0.164216
57216	0.200504
57344	0.162928
57472	0.146709
57600	0.141616
57728	0.149597
57856	0.19339
57984	0.144618
58112	0.145184
58240	0.176347
58368	0.139947
58496	0.138241
58624	0.210464
58752	0.310659
58880	0.157219
59008	0.150464
59136	0.145805
59264	0.141987
59392	0.13903
59520	0.136683
59648	0.140609
59776	0.175629
59904	0.162445
60032	0.207467
60160	0.159739
60288	0.143533
60416	0.140835
60544	0.152393
60672	0.19502
60800	0.146253
60928	0.147416
61056	0.173887
61184	0.138449
61312	0.133041
61440	0.132785
61568	0.168457
61696	0.196791
61824	0.269092
61952	0.16142
62080	0.152584
62208	0.145539
62336	0.140375
62464	0.137077
62592	0.135515
62720	0.145613
62848	0.196961
62976	0.135873
63104	0.133938
63232	0.146233
63360	0.240054
63488	0.213227
63616	0.159932
63744	0.149195
63872	0.141136
64000	0.139099
64128	0.157689
64256	0.183633
64384	0.205302
64512	0.151387
64640	0.143837
64768	0.138111
64896	0.139072
65024	0.156333
65152	0.183917
65280	0.210166
65408	0.148693
65536	0.141045
65664	0.136207
65792	0.132909
65920	0.13314
66048	0.150124
66176	0.217472
66304	0.217958
66432	0.15252
66560	0.144979
66688	0.141084
66816	0.139155
66944	0.144822
67072	0.159906
67200	0.154459
67328	0.172457
67456	0.138831
67584	0.131027
67712	0.127997
67840	0.129208
67968	0.175803
68096	0.294697
68224	0.147749
68352	0.139903
68480	0.136803
68608	0.134071
68736	0.134123
68864	0.138595
68992	0.166078
69120	0.196232
69248	0.154785
69376	0.139127
69504	0.132461
69632	0.129075
69760	0.127769
69888	0.132947
70016	0.210109
70144	0.231667
70272	0.173922
70400	0.142243
70528	0.134338
70656	0.130571
70784	0.130028
70912	0.141426
71040	0.181913
71168	0.139296
71296	0.138303
71424	0.146438
71552	0.172035
71680	0.137861
71808	0.129556
71936	0.128576
72064	0.137716
72192	0.187424
72320	0.232324
72448	0.157935
72576	0.141539
72704	0.135233
72832	0.13116
72960	0.128498
73088	0.126456
73216	0.125918
73344	0.132072
73472	0.211556
73600	0.211048
73728	0.144075
73856	0.135893
73984	0.130469
74112	0.128123
74240	0.126966
74368	0.130697
74496	0.149787
74624	0.214269
74752	0.176248
74880	0.153253
75008	0.136688
75136	0.132887
75264	0.129011
75392	0.129886
75520	0.132242
75648	0.154791
75776	0.182169
75904	0.154331
76032	0.132035
76160	0.127585
76288	0.123627
76416	0.122757
76544	0.126528
76672	0.161459
76800	0.255098
76928	0.158094
77056	0.1348
77184	0.130914
77312	0.127628
77440	0.125341
77568	0.124737
77696	0.12466
77824	0.131162
77952	0.206076
78080	0.204577
78208	0.145836
78336	0.137185
78464	0.131703
78592	0.127175
78720	0.124413
78848	0.122074
78976	0.120932
79104	0.120129
79232	0.122301
79360	0.136651
79488	0.237293
79616	0.162923
79744	0.160872
79872	0.128033
80000	0.124118
80128	0.121053
80256	0.119636
80384	0.11903
80512	0.120911
80640	0.131055
80768	0.217543
80896	0.181076
81024	0.170464
81152	0.128005
81280	0.123813
81408	0.120517
81536	0.118656
81664	0.116992
81792	0.115917
81920	0.114974
82048	0.114299
82176	0.115422
82304	0.134039
82432	0.231159
82560	0.150889
82688	0.152257
82816	0.131119
82944	0.121072
83072	0.119112
83200	0.118557
83328	0.120594
83456	0.130098
83584	0.166906
83712	0.165612
83840	0.163145
83968	0.127444
84096	0.121073
84224	0.116927
84352	0.11493
84480	0.113538
84608	0.112883
84736	0.111846
84864	0.111297
84992	0.110893
85120	0.113191
85248	0.157404
85376	0.313053
85504	0.183479
85632	0.129229
85760	0.12071
85888	0.116313
86016	0.113679
86144	0.112158
86272	0.111289
86400	0.11187
86528	0.12202
86656	0.228835
86784	0.259809
86912	0.1805
87040	0.14725
87168	0.133675
87296	0.128218
87424	0.124967
87552	0.123258
87680	0.121482
87808	0.120238
87936	0.118759
88064	0.11799
88192	0.116873
88320	0.115803
88448	0.115023
88576	0.114368
88704	0.11606
88832	0.140435
88960	0.324146
89088	0.117849
89216	0.114868
89344	0.112951
89472	0.111742
89600	0.111344
89728	0.110582
89856	0.110015
89984	0.109527
90112	0.109263
90240	0.109111
90368	0.108511
90496	0.108729
90624	0.112906
90752	0.176426
90880	0.310583
91008	0.15493
91136	0.121497
91264	0.117508
91392	0.116804
91520	0.116099
91648	0.119367
91776	0.124324
91904	0.138815
92032	0.150811
92160	0.118223
92288	0.111434
92416	0.109472
92544	0.108529
92672	0.107964
92800	0.107369
92928	0.10729
93056	0.109312
93184	0.129184
93312	0.178144
93440	0.143996
93568	0.119063
93696	0.115109
93824	0.112366
93952	0.110059
94080	0.108898
94208	0.107657
94336	0.106949
94464	0.106042
94592	0.105428
94720	0.105038
94848	0.105718
94976	0.124914
95104	0.1196
95232	0.10959
95360	0.107961
95488	0.107436
95616	0.106593
95744	0.106473
95872	0.106137
96000	0.105648
96128	0.105776
96256	0.105974
96384	0.106933
96512	0.115843
96640	0.153658
96768	0.310646
96896	0.204078
97024	0.112629
97152	0.109463
97280	0.108714
97408	0.107877
97536	0.107545
97664	0.107077
97792	0.106751
97920	0.106392
98048	0.105991
98176	0.105762
98304	0.10501
98432	0.105218
98560	0.105
98688	0.10471
98816	0.104471
98944	0.104121
99072	0.103906
99200	0.103604
99328	0.103441
99456	0.103604
99584	0.103523
99712	0.105671
99840	0.147151
99968	1.09828
100096	0.90547
100224	0.289336
100352	0.226239
100480	0.195223
100608	0.164624
100736	0.166322
100864	0.252622
100992	0.226968
101120	0.211348
101248	0.195074
101376	0.170834
101504	0.556435
101632	0.11703
101760	0.113123
101888	0.238365
102016	0.209591
102144	0.202068
102272	0.195762
102400	0.187219
102528	0.179696
102656	0.171306
102784	0.162315
102912	0.151849
103040	0.138752
103168	0.120247
103296	0.112894
103424	0.178248
103552	0.111678
103680	0.127343
103808	0.194375
103936	0.16
104064	0.116593
104192	0.108145
104320	0.107057
104448	0.106335
104576	0.105874
104704	0.105423
104832	0.105386
104960	0.105015
105088	0.104628
105216	0.104865
105344	0.107563
105472	0.131351
105600	0.138894
105728	0.157383
105856	0.114584
105984	0.107976
106112	0.106458
106240	0.105809
106368	0.10551
106496	0.104969
106624	0.104773
106752	0.10409
106880	0.104152
107008	0.103756
107136	0.103787
107264	0.103534
107392	0.103789
107520	0.107032
107648	0.13651
107776	0.287458
107904	0.228286
108032	0.218024
108160	0.207868
108288	0.198898
108416	0.188557
108544	0.177051
108672	0.1593
108800	0.129272
108928	0.109208
109056	0.107508
109184	0.106616
109312	0.106215
109440	0.105557
109568	0.105303
109696	0.104782
109824	0.104281
109952	0.104302
110080	0.104173
110208	0.104031
110336	0.10764
110464	0.107606
110592	0.114426
110720	0.107331
110848	0.104993
110976	0.104434
111104	0.104221
111232	0.103443
111360	0.103365
111488	0.103298
111616	0.103136
111744	0.104652
111872	0.12953
112000	0.132883
112128	0.110774
112256	0.108869
112384	0.108215
112512	0.107729
112640	0.106786
112768	0.106593
112896	0.105993
113024	0.105637
113152	0.105116
113280	0.104938
113408	0.104576
113536	0.104097
113664	0.103915
113792	0.103559
113920	0.103371
114048	0.103069
114176	0.102825
114304	0.102471
114432	0.102392
114560	0.101979
114688	0.102001
114816	0.102006
114944	0.102603
115072	0.113452
115200	0.204473
115328	0.21946
115456	0.201091
115584	0.183547
115712	0.163949
115840	0.139673
115968	0.116566
116096	0.109402
116224	0.107476
116352	0.151545
116480	0.154424
116608	0.11935
116736	0.112205
116864	0.108831
116992	0.107092
117120	0.10623
117248	0.105207
117376	0.104672
117504	0.104165
117632	0.103601
117760	0.103599
117888	0.103413
118016	0.103073
118144	0.102886
118272	0.102641
118400	0.102441
118528	0.102441
118656	0.102135
118784	0.102173
118912	0.101951
119040	0.101669
119168	0.101548
119296	0.101359
119424	0.101281
119552	0.101344
119680	0.10104
119808	0.100953
119936	0.100802
120064	0.100686
120192	0.100646
120320	0.100548
120448	0.100306
120576	0.100255
120704	0.0999724
120832	0.10012
120960	0.100794
121088	0.105503
121216	0.133186
121344	0.14657
121472	0.16371
121600	0.116622
121728	0.102767
121856	0.102088
121984	0.101959
122112	0.101756
122240	0.101562
122368	0.101498
122496	0.101117
122624	0.101055
122752	0.10084
122880	0.100716
123008	0.100506
123136	0.100394
123264	0.100403
123392	0.100224
123520	0.100035
123648	0.100043
123776	0.0999155
123904	0.100461
124032	0.101642
124160	0.100132
124288	0.0997407
124416	0.0994361
124544	0.0995925
124672	0.0992433
124800	0.0991703
124928	0.099227
