########

	Model: Fully Associative URNN with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

0	2.32769
128	2.02737
256	1.83844
384	1.66253
512	1.49549
640	1.31883
768	1.12886
896	0.908496
1024	0.7316
1152	0.63998
1280	0.577346
1408	0.535121
1536	0.50891
1664	0.518302
1792	0.574607
1920	0.610187
2048	0.51575
2176	0.425629
2304	0.408518
2432	0.415724
2560	0.422942
2688	0.505886
2816	0.431936
2944	0.409566
3072	0.467244
3200	0.423888
3328	0.363525
3456	0.330964
3584	0.362791
3712	0.403988
3840	0.412106
3968	0.395068
4096	0.434049
4224	0.416066
4352	0.402531
4480	0.37263
4608	0.404162
4736	0.384156
4864	0.366779
4992	0.36001
5120	0.386649
5248	0.432543
5376	0.386659
5504	0.359251
5632	0.335219
5760	0.324086
5888	0.313371
6016	0.305805
6144	0.298584
6272	0.295257
6400	0.283416
6528	0.285527
6656	0.274183
6784	0.277681
6912	0.261861
7040	0.26185
7168	0.243798
7296	0.238782
7424	0.225415
7552	0.218209
7680	0.21067
7808	0.202037
7936	0.196364
8064	0.191008
8192	0.185049
8320	0.181431
8448	0.174941
8576	0.169814
8704	0.166327
8832	0.163401
8960	0.159041
9088	0.153958
9216	0.147822
9344	0.145407
9472	0.141541
9600	0.136873
9728	0.134242
9856	0.12976
9984	0.12529
10112	0.120572
10240	0.116969
10368	0.11594
10496	0.111366
10624	0.10686
10752	0.103798
10880	0.103807
11008	0.100185
11136	0.09877
11264	0.0982312
11392	0.0966636
11520	0.0957021
11648	0.0891427
11776	0.0860433
11904	0.0837444
12032	0.0814072
12160	0.0781361
12288	0.0770475
12416	0.0732463
12544	0.0701454
12672	0.0685489
12800	0.0631256
12928	0.0611879
13056	0.0588957
13184	0.0568344
13312	0.0562053
13440	0.0538717
13568	0.0516652
13696	0.0508967
13824	0.0480321
13952	0.0488383
14080	0.04668
14208	0.0444308
14336	0.0421926
14464	0.0405822
14592	0.0384057
14720	0.0370353
14848	0.0329737
14976	0.0327397
15104	0.0313911
15232	0.031095
15360	0.0283012
15488	0.0281913
15616	0.026742
15744	0.0252524
15872	0.0246744
16000	0.0247474
16128	0.0210869
16256	0.0221027
16384	0.02105
16512	0.0206566
16640	0.0190824
16768	0.0176621
16896	0.018171
17024	0.0166652
17152	0.0157293
17280	0.0145113
17408	0.0134057
17536	0.0132559
