########

	Model: LSTM with ~6500 parameters on

#Task:
 # Copying Task with T=20

########

0	2.3654
128	2.31057
256	2.27149
384	2.23721
512	2.20746
640	2.16316
768	2.12818
896	2.10215
1024	2.06046
1152	2.02737
1280	1.98633
1408	1.95789
1536	1.92128
1664	1.90985
1792	1.85125
1920	1.82394
2048	1.7854
2176	1.75539
2304	1.72566
2432	1.68111
2560	1.64573
2688	1.60702
2816	1.57776
2944	1.54601
3072	1.51269
3200	1.48844
3328	1.46052
3456	1.42591
3584	1.38833
3712	1.35331
3840	1.33578
3968	1.31673
4096	1.31756
4224	1.26044
4352	1.22562
4480	1.20376
4608	1.1864
4736	1.1796
4864	1.19768
4992	1.11737
5120	1.09122
5248	1.07843
5376	1.04314
5504	1.03542
5632	1.01674
5760	1.07151
5888	1.05614
6016	1.09411
6144	0.974965
6272	0.953053
6400	0.942737
6528	0.929048
6656	0.914326
6784	0.901611
6912	0.91211
7040	0.920314
7168	0.978439
7296	0.870842
7424	0.854447
7552	0.84813
7680	0.844172
7808	0.836057
7936	0.852889
8064	0.86041
8192	0.931499
8320	0.806256
8448	0.800383
8576	0.795196
8704	0.789863
8832	0.780492
8960	0.786311
9088	0.79652
9216	0.85836
9344	0.781965
9472	0.781678
9600	0.769245
9728	0.770914
9856	0.760638
9984	0.767081
10112	0.746597
10240	0.751533
10368	0.735295
10496	0.746967
10624	0.731096
10752	0.74496
10880	0.72954
11008	0.744282
11136	0.717903
11264	0.719507
11392	0.711172
11520	0.721839
11648	0.707034
11776	0.710246
11904	0.697549
12032	0.706284
12160	0.69427
12288	0.698139
12416	0.688897
12544	0.700477
12672	0.68655
12800	0.685048
12928	0.677532
13056	0.683799
13184	0.671905
13312	0.677598
13440	0.668054
13568	0.676014
13696	0.673033
13824	0.68104
13952	0.66876
14080	0.662581
14208	0.651999
14336	0.656037
14464	0.646648
14592	0.649552
14720	0.64994
14848	0.658803
14976	0.656889
15104	0.661939
15232	0.649362
15360	0.641619
15488	0.635923
15616	0.641186
15744	0.633715
15872	0.632115
16000	0.63035
16128	0.637201
16256	0.63631
16384	0.646266
16512	0.637605
16640	0.635246
16768	0.628238
16896	0.624406
17024	0.613365
17152	0.610634
17280	0.610505
17408	0.612612
17536	0.613383
17664	0.627641
17792	0.635258
17920	0.647432
18048	0.625598
18176	0.612544
18304	0.606972
18432	0.611756
