########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=20

########

0	2.1919
128	2.0107
256	1.91523
384	1.80976
512	1.71318
640	1.63371
768	1.55182
896	1.47856
1024	1.40474
1152	1.32979
1280	1.27387
1408	1.21993
1536	1.16474
1664	1.14003
1792	1.16751
1920	1.07646
2048	1.04491
2176	0.977435
2304	0.948781
2432	0.920854
2560	0.87937
2688	0.859464
2816	0.853765
2944	0.822346
3072	0.818205
3200	0.776826
3328	0.757393
3456	0.717423
3584	0.699044
3712	0.677957
3840	0.663875
3968	0.642159
4096	0.635218
4224	0.608726
4352	0.604104
4480	0.568935
4608	0.552857
4736	0.517336
4864	0.505978
4992	0.493153
5120	0.470024
5248	0.450528
5376	0.442787
5504	0.423843
5632	0.414473
5760	0.381627
5888	0.369536
6016	0.366208
6144	0.339244
6272	0.325426
6400	0.317734
6528	0.303124
6656	0.299814
6784	0.337094
6912	0.425122
7040	0.284542
7168	0.245097
7296	0.237803
7424	0.227913
7552	0.217296
7680	0.209051
7808	0.197844
7936	0.193051
8064	0.184466
8192	0.176378
8320	0.174673
8448	0.170337
8576	0.169318
8704	0.169938
8832	0.154615
8960	0.149107
9088	0.129909
9216	0.124772
9344	0.117255
9472	0.11642
9600	0.111421
9728	0.106142
9856	0.103275
9984	0.0963058
10112	0.0956921
10240	0.0890782
10368	0.0890293
10496	0.0842419
10624	0.0782892
10752	0.0785979
10880	0.0747614
11008	0.0733205
11136	0.0715248
11264	0.0661781
11392	0.0627484
11520	0.0569507
11648	0.0538835
11776	0.0518896
11904	0.0497748
12032	0.0460266
12160	0.0457795
12288	0.0433837
12416	0.0418014
12544	0.0398689
12672	0.0420472
12800	0.0650714
12928	0.300266
13056	0.048818
13184	0.0328291
13312	0.0328246
13440	0.0322394
13568	0.030303
13696	0.0296722
13824	0.029354
13952	0.0279613
14080	0.0274764
14208	0.0263862
14336	0.0271816
14464	0.025693
14592	0.0244325
14720	0.0234318
14848	0.0228651
14976	0.0234433
15104	0.0224845
15232	0.0214676
15360	0.020379
15488	0.0194938
15616	0.0192414
15744	0.0179991
15872	0.0186452
16000	0.0181028
16128	0.0172404
16256	0.0162987
16384	0.015968
16512	0.0145782
16640	0.0145859
16768	0.0141832
16896	0.0130311
17024	0.013384
17152	0.0122377
17280	0.0116887
17408	0.0117709
17536	0.0110196
