########

	Model: Fully Associative URNN with ~6500 parameters on

#Task:
 # Copying Task with T=20

########

45952	4.21673e-05
46080	4.27591e-05
46208	4.88027e-05
46336	4.71344e-05
46464	3.94756e-05
46592	3.70851e-05
46720	3.4003e-05
46848	4.3018e-05
46976	3.63929e-05
47104	3.44127e-05
47232	3.95567e-05
47360	3.0435e-05
47488	2.97267e-05
47616	2.87427e-05
47744	3.17839e-05
47872	3.23782e-05
48000	2.67136e-05
48128	2.66102e-05
48256	3.02436e-05
48384	3.34211e-05
48512	2.59788e-05
48640	2.18651e-05
48768	2.42771e-05
48896	2.59813e-05
49024	2.14199e-05
49152	2.15013e-05
49280	2.01224e-05
49408	2.15736e-05
49536	1.77824e-05
49664	1.8532e-05
49792	1.99155e-05
49920	2.10428e-05
50048	1.95152e-05
50176	1.88609e-05
50304	1.65701e-05
50432	1.4799e-05
50560	1.33469e-05
50688	1.43249e-05
50816	1.68057e-05
50944	1.62934e-05
51072	1.99787e-05
51200	2.3259e-05
51328	1.56954e-05
51456	1.44736e-05
51584	1.47249e-05
51712	1.48722e-05
51840	1.19746e-05
51968	1.46294e-05
52096	1.24238e-05
52224	1.29288e-05
52352	1.02026e-05
52480	1.32282e-05
52608	1.20833e-05
52736	1.23582e-05
52864	1.57291e-05
52992	1.26954e-05
53120	1.4396e-05
53248	1.14763e-05
53376	1.20231e-05
53504	1.11374e-05
53632	1.05538e-05
53760	9.81371e-06
53888	1.03196e-05
54016	9.21289e-06
54144	1.12293e-05
54272	7.76479e-06
54400	1.12936e-05
54528	1.05759e-05
54656	8.10203e-06
54784	7.5776e-06
54912	8.50192e-06
55040	8.22311e-06
55168	6.95071e-06
55296	7.32792e-06
55424	9.03514e-06
55552	8.9006e-06
55680	7.74903e-06
55808	7.15996e-06
55936	5.75076e-06
56064	6.8609e-06
56192	6.10537e-06
56320	6.30769e-06
56448	5.81883e-06
56576	6.45297e-06
56704	6.23184e-06
56832	5.44881e-06
56960	5.4897e-06
57088	5.36496e-06
57216	5.45559e-06
57344	5.43109e-06
57472	5.61744e-06
57600	5.33471e-06
57728	5.03318e-06
57856	4.23805e-06
57984	4.96688e-06
58112	4.68136e-06
58240	4.72487e-06
58368	5.84639e-06
58496	4.22008e-06
58624	3.97808e-06
58752	4.87993e-06
58880	4.13713e-06
59008	3.90386e-06
59136	3.53328e-06
59264	4.14924e-06
59392	4.462e-06
59520	3.10281e-06
59648	3.16183e-06
59776	3.13292e-06
59904	2.90224e-06
60032	2.81727e-06
60160	2.97858e-06
60288	3.13763e-06
60416	2.74839e-06
60544	2.75046e-06
60672	3.37529e-06
60800	2.61765e-06
60928	2.36674e-06
61056	2.4567e-06
61184	2.74247e-06
61312	3.0265e-06
61440	1.92563e-06
61568	2.31675e-06
61696	2.60762e-06
61824	1.99501e-06
61952	2.1916e-06
62080	1.97749e-06
62208	2.29328e-06
62336	2.21085e-06
62464	2.05086e-06
62592	1.92583e-06
62720	2.43902e-06
62848	1.89663e-06
62976	2.00463e-06
63104	2.10949e-06
63232	1.62202e-06
63360	1.77978e-06
63488	1.82736e-06
63616	1.7159e-06
63744	1.73944e-06
63872	1.96624e-06
64000	1.72037e-06
64128	1.45473e-06
64256	1.17643e-06
64384	1.10015e-06
64512	1.39305e-06
64640	1.68096e-06
64768	1.54574e-06
64896	1.15889e-06
65024	1.48581e-06
65152	1.67709e-06
65280	1.13853e-06
65408	1.09278e-06
65536	1.16556e-06
65664	1.09494e-06
65792	9.10326e-07
65920	1.04347e-06
66048	9.96083e-07
66176	1.34814e-06
66304	1.15658e-06
66432	1.27589e-06
66560	9.45103e-07
66688	1.40705e-06
66816	1.0986e-06
66944	1.11144e-06
67072	1.01614e-06
67200	9.16378e-07
67328	8.35306e-07
67456	7.88927e-07
67584	9.27002e-07
67712	1.03631e-06
67840	1.0764e-06
67968	7.24019e-07
68096	8.59336e-07
68224	8.2188e-07
68352	8.40408e-07
68480	8.14872e-07
68608	5.66494e-07
68736	6.92234e-07
68864	5.74616e-07
68992	1.03339e-06
69120	1.3219e-06
69248	1.03305e-06
69376	6.13776e-07
69504	6.37665e-07
69632	6.20365e-07
69760	5.86888e-07
69888	7.72922e-07
70016	6.58305e-07
70144	5.95407e-07
70272	7.72152e-07
70400	4.89965e-07
70528	6.18431e-07
70656	6.18145e-07
70784	9.87536e-07
70912	5.7964e-07
71040	5.55806e-07
71168	5.92383e-07
71296	4.73152e-07
71424	4.93495e-07
71552	7.40722e-07
71680	4.94138e-07
71808	4.94404e-07
71936	5.67027e-07
72064	4.56015e-07
72192	5.00141e-07
72320	4.19649e-07
72448	3.79323e-07
72576	4.9047e-07
72704	4.75661e-07
72832	5.59104e-07
72960	3.9732e-07
73088	4.80638e-07
73216	4.78597e-07
73344	5.06723e-07
73472	6.4629e-07
73600	4.34039e-07
73728	4.97591e-07
73856	3.5944e-07
73984	4.13872e-07
74112	3.97805e-07
74240	3.98503e-07
74368	3.16414e-07
74496	4.28751e-07
74624	3.1043e-07
74752	2.62817e-07
74880	2.76879e-07
75008	3.49356e-07
75136	5.1623e-07
75264	3.13037e-07
75392	4.48717e-07
75520	3.54245e-07
75648	3.142e-07
75776	3.02977e-07
75904	2.74039e-07
76032	2.72898e-07
76160	3.13174e-07
76288	2.56391e-07
76416	2.57066e-07
76544	2.63421e-07
76672	3.12684e-07
76800	2.39736e-07
76928	2.38135e-07
77056	3.12035e-07
77184	3.55572e-07
77312	2.62954e-07
77440	3.49086e-07
77568	2.54034e-07
77696	2.64372e-07
77824	1.71619e-07
77952	2.14109e-07
78080	1.9397e-07
78208	2.77477e-07
78336	1.57113e-07
78464	1.75739e-07
78592	1.50548e-07
78720	1.92014e-07
78848	2.38571e-07
78976	1.35507e-07
79104	2.1941e-07
79232	1.79837e-07
79360	3.12251e-07
79488	3.33014e-07
79616	2.18463e-07
79744	1.47032e-07
79872	1.73923e-07
80000	2.34246e-07
80128	2.15459e-07
80256	1.22562e-07
80384	1.45402e-07
80512	1.54226e-07
80640	1.84142e-07
80768	1.65284e-07
80896	1.57067e-07
81024	1.44238e-07
81152	1.20815e-07
81280	1.98858e-07
81408	1.87866e-07
81536	1.07428e-07
81664	1.83956e-07
81792	1.35087e-07
81920	1.41491e-07
82048	1.02399e-07
82176	9.66012e-08
82304	1.26263e-07
82432	1.17625e-07
82560	1.32526e-07
82688	1.29685e-07
82816	1.49891e-07
82944	9.74617e-08
83072	1.78971e-07
83200	9.09665e-08
83328	1.12037e-07
83456	2.16283e-07
83584	1.64676e-07
83712	1.39557e-07
83840	1.57391e-07
83968	8.80098e-08
84096	1.65227e-07
84224	4.1348e-07
84352	1.63327e-07
84480	9.13623e-08
84608	1.15111e-07
84736	9.29455e-08
84864	1.19278e-07
84992	1.02584e-07
85120	1.21046e-07
85248	9.37137e-08
85376	1.04889e-07
85504	7.6927e-08
85632	7.10831e-08
85760	8.06523e-08
85888	7.11761e-08
86016	9.79741e-08
86144	8.47265e-08
86272	7.03845e-08
86400	1.10966e-07
86528	1.12245e-07
86656	9.8207e-08
86784	1.00512e-07
86912	7.79044e-08
87040	7.30154e-08
87168	5.78117e-08
87296	8.04656e-08
87424	7.85799e-08
87552	7.14315e-08
87680	5.38303e-08
87808	8.2305e-08
87936	1.09986e-07
88064	7.42023e-08
88192	7.13391e-08
88320	6.11412e-08
88448	5.31318e-08
88576	6.51222e-08
