########

	Model: BasicRNN with 8090 parameters on

#Task:
# Copying Task with T=100

########

50560	0.446518
50688	0.422116
50816	0.414305
50944	0.407816
51072	0.406776
51200	0.402779
51328	0.399267
51456	0.395187
51584	0.393300
51712	0.388943
51840	0.385565
51968	0.382801
52096	0.381756
52224	0.398672
52352	0.482514
52480	0.374913
52608	0.372873
52736	0.386155
52864	0.415692
52992	0.487981
53120	0.376215
53248	0.365398
53376	0.364100
53504	0.362211
53632	0.367461
53760	0.362041
53888	0.375578
54016	0.359045
54144	0.358943
54272	0.343729
54400	0.336521
54528	0.327487
54656	0.322607
54784	0.316393
54912	0.317283
55040	0.308249
55168	0.301553
55296	0.294424
55424	0.499883
55552	1.273095
55680	1.776649
55808	1.109003
55936	0.448825
56064	0.410969
56192	0.390541
56320	0.380718
56448	0.373415
56576	0.369827
56704	0.367186
56832	0.364020
56960	0.361050
57088	0.355844
57216	0.352432
57344	0.348552
57472	0.346096
57600	0.341506
57728	0.338583
57856	0.334580
57984	0.328016
58112	0.323906
58240	0.320870
58368	0.316552
58496	0.314153
58624	0.311369
58752	0.304140
58880	0.302980
59008	0.298240
59136	0.293195
59264	0.293670
59392	0.289121
59520	0.290235
59648	0.294704
59776	0.304037
59904	0.685984
60032	0.610604
60160	0.495086
60288	0.385398
60416	0.359730
60544	0.362065
60672	0.340907
60800	0.339007
60928	0.331057
61056	0.329565
61184	0.324132
61312	0.325298
61440	0.316052
61568	0.318944
61696	0.309597
61824	0.310196
61952	0.302285
62080	0.299662
62208	0.296416
62336	0.296832
62464	0.293923
62592	0.296913
62720	0.297073
62848	0.320792
62976	0.332905
63104	0.633750
63232	0.617459
63360	0.515195
63488	0.423548
63616	0.361269
63744	0.338109
63872	0.327546
64000	0.319784
64128	0.312580
64256	0.308965
64384	0.300454
64512	0.295232
64640	0.294032
64768	0.288785
64896	0.286063
65024	0.284082
65152	0.278694
65280	0.278362
65408	0.273289
65536	0.273531
65664	0.269816
65792	0.266912
65920	0.269718
66048	0.296243
66176	0.326422
66304	0.340360
66432	0.280772
66560	0.264574
66688	0.258711
66816	0.255923
66944	0.255344
67072	0.253778
67200	0.251648
67328	0.248262
67456	0.248815
67584	0.242310
67712	0.551983
67840	1.381015
67968	0.416601
68096	0.332966
68224	0.306354
68352	0.432952
68480	0.457307
68608	0.421970
68736	0.391913
68864	0.378717
68992	0.416619
69120	0.425072
69248	0.348733
69376	0.374453
69504	0.364241
69632	0.356318
69760	0.344308
69888	0.356068
70016	0.640240
70144	0.351234
70272	0.632240
70400	0.320616
70528	0.397714
70656	0.341236
70784	0.264527
70912	0.316265
71040	0.310369
