########

	Model: URNN with 6155 parameters on

#Task:
# Copying Task with T=100

########

50688	0.355641
50816	0.311313
50944	0.275606
51072	0.286824
51200	0.317521
51328	0.379609
51456	0.349119
51584	0.327214
51712	0.281579
51840	0.293037
51968	0.330094
52096	0.361202
52224	0.398862
52352	0.355175
52480	0.368735
52608	0.310524
52736	0.279060
52864	0.258864
52992	0.273306
53120	0.292640
53248	0.320140
53376	0.335942
53504	0.316714
53632	0.300787
53760	0.286979
53888	0.257788
54016	0.278012
54144	0.271027
54272	0.315891
54400	0.431145
54528	0.516714
54656	0.393553
54784	0.333678
54912	0.292098
55040	0.274680
55168	0.247830
55296	0.292682
55424	0.268250
55552	0.270604
55680	0.261799
55808	0.257490
55936	0.294353
56064	0.307612
56192	0.338303
56320	0.289338
56448	0.286519
56576	0.278159
56704	0.298836
56832	0.338427
56960	0.286173
57088	0.256820
57216	0.240028
57344	0.267597
57472	0.293838
57600	0.360417
57728	0.417061
57856	0.347288
57984	0.329231
58112	0.279854
58240	0.260134
58368	0.241593
58496	0.260960
58624	0.266597
58752	0.268427
58880	0.339981
59008	0.292175
59136	0.296264
59264	0.246811
59392	0.221687
59520	0.225078
59648	0.255823
59776	0.266325
59904	0.256764
60032	0.401285
60160	0.338848
60288	0.304943
60416	0.254586
60544	0.228113
60672	0.231576
60800	0.249441
60928	0.237980
61056	0.271962
61184	0.389601
61312	0.303786
61440	0.241341
61568	0.238832
61696	0.250794
61824	0.249535
61952	0.259300
62080	0.278231
62208	0.248917
62336	0.253716
62464	0.291864
62592	0.283580
62720	0.248736
62848	0.227392
62976	0.239638
63104	0.239114
63232	0.228934
63360	0.231003
63488	0.234756
63616	0.257362
63744	0.233017
63872	0.298363
64000	0.263695
64128	0.249487
64256	0.254526
64384	0.335575
64512	0.306980
64640	0.224613
64768	0.250004
64896	0.212540
65024	0.206294
65152	0.201549
65280	0.225914
65408	0.225679
65536	0.234063
65664	0.242212
65792	0.281804
65920	0.232547
66048	0.236432
66176	0.214522
66304	0.210928
66432	0.219716
66560	0.245036
66688	0.286830
66816	0.328315
66944	0.235460
67072	0.258547
67200	0.235745
67328	0.232273
67456	0.202943
67584	0.198854
67712	0.230127
67840	0.297242
67968	0.280758
68096	0.231700
68224	0.234166
68352	0.220364
68480	0.201944
68608	0.198188
68736	0.209197
68864	0.202870
68992	0.203827
69120	0.238668
69248	0.249531
69376	0.252962
69504	0.261540
69632	0.253601
69760	0.232528
69888	0.220546
70016	0.228208
70144	0.226969
70272	0.203943
70400	0.199088
70528	0.212691
70656	0.243683
70784	0.256983
70912	0.224725
71040	0.202536
71168	0.229734
71296	0.231589
71424	0.227830
71552	0.244144
71680	0.193835
71808	0.231799
71936	0.243384
72064	0.219261
72192	0.193238
72320	0.187665
72448	0.213456
72576	0.201777
72704	0.213689
72832	0.250585
72960	0.218800
73088	0.196566
73216	0.205966
73344	0.218543
73472	0.221452
73600	0.198728
73728	0.198213
73856	0.210959
73984	0.191210
74112	0.184200
74240	0.209161
74368	0.193476
74496	0.187209
74624	0.204751
74752	0.220980
74880	0.240977
75008	0.221697
75136	0.188603
75264	0.185117
75392	0.233955
75520	0.238073
75648	0.223743
75776	0.199315
75904	0.183138
76032	0.186742
76160	0.206307
76288	0.202523
76416	0.213235
76544	0.194070
76672	0.180763
76800	0.184816
76928	0.168886
77056	0.187764
77184	0.185552
77312	0.196409
77440	0.214050
77568	0.198387
77696	0.191977
77824	0.195374
77952	0.191759
78080	0.206333
78208	0.223637
78336	0.181811
78464	0.196623
78592	0.197982
78720	0.230497
78848	0.221379
78976	0.206445
79104	0.160555
79232	0.170493
79360	0.171485
79488	0.182265
79616	0.178674
79744	0.221307
79872	0.228105
80000	0.200112
80128	0.195071
80256	0.187223
80384	0.189638
80512	0.193106
80640	0.179174
80768	0.212179
80896	0.191247
81024	0.194473
81152	0.201312
81280	0.196022
81408	0.193133
81536	0.186101
81664	0.216488
81792	0.230974
81920	0.209080
82048	0.189162
82176	0.167306
82304	0.199077
82432	0.176270
82560	0.171809
82688	0.195972
82816	0.232659
82944	0.195761
83072	0.203024
83200	0.211332
83328	0.176659
83456	0.177963
83584	0.189088
83712	0.179475
83840	0.169151
83968	0.209672
84096	0.224740
84224	0.184614
84352	0.173342
84480	0.201913
84608	0.179640
84736	0.173070
84864	0.159104
84992	0.193950
85120	0.197612
85248	0.210484
85376	0.179245
85504	0.173768
85632	0.164495
85760	0.176938
85888	0.174944
86016	0.188988
86144	0.196716
86272	0.239738
86400	0.233801
86528	0.195715
86656	0.172164
86784	0.166387
86912	0.174487
87040	0.168669
87168	0.166890
87296	0.195207
87424	0.200635
87552	0.215700
87680	0.240515
87808	0.208074
87936	0.186187
88064	0.179302
88192	0.175380
88320	0.180249
88448	0.186029
88576	0.167238
88704	0.175288
88832	0.206645
88960	0.191867
89088	0.164567
89216	0.191413
89344	0.182804
89472	0.175137
89600	0.178578
89728	0.197373
89856	0.221020
89984	0.202945
90112	0.187441
90240	0.163588
90368	0.192322
90496	0.180256
90624	0.177147
90752	0.170920
90880	0.168371
91008	0.155997
91136	0.183155
91264	0.169506
91392	0.179887
91520	0.193771
91648	0.218599
91776	0.241632
91904	0.237594
92032	0.205930
92160	0.186385
92288	0.175059
92416	0.168095
92544	0.198307
92672	0.183274
92800	0.178318
92928	0.169846
93056	0.194130
93184	0.213743
93312	0.198101
93440	0.201420
93568	0.181150
93696	0.176292
93824	0.183970
93952	0.193536
94080	0.192087
94208	0.215980
94336	0.218259
94464	0.188979
94592	0.182228
94720	0.172383
94848	0.168887
94976	0.195854
95104	0.200346
95232	0.213455
95360	0.200480
95488	0.196646
95616	0.195084
95744	0.202076
95872	0.212556
96000	0.193131
96128	0.195388
96256	0.183494
96384	0.179164
96512	0.200530
96640	0.212735
96768	0.235538
96896	0.240669
97024	0.188586
97152	0.189177
97280	0.178403
97408	0.196685
97536	0.187584
97664	0.190150
97792	0.182363
97920	0.200076
98048	0.231099
98176	0.212218
98304	0.199029
98432	0.188956
98560	0.231852
98688	0.228595
98816	0.201006
98944	0.222717
99072	0.183019
99200	0.183986
99328	0.208911
99456	0.197511
99584	0.191367
99712	0.235932
99840	0.227243
99968	0.243573
100096	0.203117
100224	0.198599
100352	0.199660
100480	0.193996
100608	0.212997
100736	0.206955
100864	0.213646
100992	0.222383
101120	0.195125
101248	0.202317
101376	0.206231
101504	0.205811
101632	0.218209
101760	0.245432
101888	0.244408
102016	0.232586
102144	0.213791
102272	0.238528
102400	0.197288
102528	0.210020
102656	0.210643
102784	0.207785
102912	0.214405
103040	0.193673
103168	0.207953
103296	0.223222
103424	0.233649
103552	0.246312
103680	0.234627
103808	0.220673
103936	0.211825
104064	0.209316
104192	0.231956
104320	0.251216
104448	0.240366
104576	0.235358
104704	0.220745
104832	0.211115
104960	0.213395
105088	0.199515
105216	0.196601
105344	0.200224
105472	0.227585
105600	0.225006
105728	0.265647
105856	0.272674
105984	0.220083
106112	0.223082
106240	0.204611
106368	0.222188
106496	0.222039
106624	0.223201
106752	0.254979
106880	0.237234
107008	0.248305
107136	0.234942
107264	0.220034
107392	0.211876
107520	0.220021
107648	0.220354
107776	0.202995
107904	0.250395
108032	0.277898
108160	0.263486
108288	0.273490
108416	0.265399
108544	0.213873
108672	0.213757
108800	0.214357
108928	0.221451
109056	0.222774
109184	0.239392
109312	0.237209
109440	0.237694
109568	0.237775
109696	0.234521
109824	0.239767
109952	0.224550
110080	0.238365
110208	0.278691
110336	0.270887
110464	0.259081
110592	0.240861
110720	0.232789
110848	0.217382
110976	0.202314
111104	0.226183
111232	0.238601
111360	0.202616
111488	0.233810
111616	0.270077
111744	0.322088
111872	0.256442
112000	0.234229
112128	0.233739
112256	0.241927
112384	0.220697
112512	0.229137
112640	0.230813
112768	0.216330
112896	0.215194
113024	0.233619
113152	0.222364
113280	0.264564
113408	0.280944
113536	0.255874
113664	0.254216
113792	0.243620
113920	0.242284
114048	0.236296
114176	0.231042
114304	0.218295
114432	0.203956
114560	0.217033
114688	0.227271
114816	0.242728
114944	0.229990
115072	0.277600
115200	0.314977
115328	0.356749
115456	0.261698
115584	0.219397
115712	0.211870
115840	0.217870
115968	0.204871
116096	0.200957
116224	0.218046
116352	0.219412
116480	0.243681
116608	0.240514
116736	0.230139
116864	0.221401
116992	0.208074
117120	0.238124
117248	0.227635
117376	0.271234
117504	0.248678
117632	0.244276
117760	0.236314
117888	0.243693
118016	0.212692
118144	0.238394
118272	0.233571
118400	0.211483
118528	0.211705
118656	0.224363
118784	0.236825
118912	0.228835
119040	0.222636
119168	0.245182
119296	0.272718
119424	0.247027
119552	0.248294
119680	0.235828
119808	0.215082
119936	0.217390
120064	0.203122
120192	0.196712
120320	0.204505
120448	0.219900
120576	0.223818
120704	0.235446
