########

	Model: LSTM with 8570 parameters on

#Task:
# Copying Task with T=100

########

50560	0.489258
50688	0.306116
50816	0.315556
50944	0.380741
51072	0.298987
51200	0.304225
51328	0.362472
51456	0.294456
51584	0.312809
51712	0.366050
51840	0.465829
51968	0.361464
52096	0.319572
52224	0.303938
52352	0.297618
52480	0.294837
52608	0.314793
52736	0.346985
52864	0.448189
52992	0.335363
53120	0.298978
53248	0.292760
53376	0.287467
53504	0.293275
53632	0.367587
53760	0.303907
53888	0.377539
54016	0.288057
54144	0.281273
54272	0.275683
54400	0.278708
54528	0.389538
54656	0.416896
54784	0.447267
54912	0.356203
55040	0.317778
55168	0.297903
55296	0.290468
55424	0.283201
55552	0.278941
55680	0.283156
55808	0.364903
55936	0.348201
56064	0.431506
56192	0.327072
56320	0.291503
56448	0.285208
56576	0.280669
56704	0.288197
56832	0.362612
56960	0.295990
57088	0.358680
57216	0.280759
57344	0.276724
57472	0.293959
57600	0.419421
57728	0.282938
57856	0.277161
57984	0.278445
58112	0.329756
58240	0.335878
58368	0.445383
58496	0.335592
58624	0.294174
58752	0.286104
58880	0.289275
59008	0.298225
59136	0.371280
59264	0.278699
59392	0.275124
59520	0.291054
59648	0.352832
59776	0.473192
59904	0.325202
60032	0.289731
60160	0.282370
60288	0.280129
60416	0.284152
60544	0.336033
60672	0.280682
60800	0.319817
60928	0.295151
61056	0.367818
61184	0.274542
61312	0.268064
61440	0.265065
61568	0.292188
61696	0.451403
61824	0.277198
61952	0.276632
62080	0.307553
62208	0.300395
62336	0.387146
62464	0.285929
62592	0.281506
62720	0.316414
62848	0.280443
62976	0.326501
63104	0.279708
63232	0.324168
63360	0.281357
63488	0.329940
63616	0.277883
63744	0.308018
63872	0.288782
64000	0.359416
64128	0.277037
64256	0.270510
64384	0.272668
64512	0.337423
64640	0.303482
64768	0.370094
64896	0.287672
65024	0.272907
65152	0.271400
65280	0.280774
65408	0.376562
65536	0.278210
65664	0.288006
65792	0.278126
65920	0.337348
66048	0.270800
66176	0.281358
66304	0.292471
66432	0.402407
66560	0.276351
66688	0.267589
66816	0.263023
66944	0.269910
67072	0.345019
67200	0.277202
67328	0.328178
67456	0.264136
67584	0.265819
67712	0.297716
67840	0.440697
67968	0.279772
68096	0.269253
68224	0.269602
68352	0.277523
68480	0.346691
68608	0.260565
68736	0.254029
68864	0.249404
68992	0.250891
69120	0.331043
69248	0.532316
69376	0.300279
69504	0.263509
69632	0.257368
69760	0.252807
69888	0.251364
70016	0.269522
70144	0.352396
70272	0.453695
70400	0.309247
70528	0.265080
70656	0.259690
70784	0.262908
70912	0.276103
71040	0.343160
71168	0.253865
71296	0.249181
71424	0.251302
71552	0.296294
71680	0.346524
71808	0.439057
71936	0.298832
72064	0.262421
72192	0.255250
72320	0.251757
72448	0.256107
72576	0.303252
72704	0.298085
72832	0.387670
72960	0.269358
73088	0.261134
73216	0.277977
73344	0.277293
73472	0.342098
73600	0.253619
73728	0.248277
73856	0.248721
73984	0.285186
74112	0.351462
74240	0.446382
74368	0.286319
74496	0.259418
74624	0.252271
74752	0.247281
74880	0.242800
75008	0.241785
75136	0.256996
75264	0.365355
75392	0.471101
75520	0.286489
75648	0.254546
75776	0.250057
75904	0.249356
76032	0.267617
76160	0.300257
76288	0.386462
76416	0.263432
76544	0.257326
76672	0.274682
76800	0.273597
76928	0.331182
77056	0.249491
77184	0.248992
77312	0.263340
77440	0.341642
77568	0.255563
77696	0.279184
77824	0.279996
77952	0.352925
78080	0.252663
78208	0.245105
78336	0.240476
78464	0.238778
78592	0.259101
78720	0.381602
78848	0.473790
78976	0.275507
79104	0.251857
79232	0.245675
79360	0.242642
79488	0.244511
79616	0.268536
79744	0.362550
79872	0.245789
80000	0.249000
80128	0.271855
80256	0.357772
80384	0.245637
80512	0.242060
80640	0.247521
80768	0.296783
80896	0.301174
81024	0.387901
81152	0.260891
81280	0.250214
81408	0.252953
81536	0.266076
81664	0.331171
81792	0.247380
81920	0.251820
