########

	Model: Fully Associative URNN with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

38016.0	0.021468
38144.0	0.0210809
38272.0	0.0205826
38400.0	0.0216609
38528.0	0.0266962
38656.0	0.0293429
38784.0	0.0265596
38912.0	0.0241648
39040.0	0.0223197
39168.0	0.0207963
39296.0	0.0199629
39424.0	0.0196915
39552.0	0.0200038
39680.0	0.019352
39808.0	0.0190056
39936.0	0.0184947
40064.0	0.0184935
40192.0	0.0180599
40320.0	0.0180562
40448.0	0.018099
40576.0	0.0184042
40704.0	0.0194397
40832.0	0.0185603
40960.0	0.0192758
41088.0	0.0202434
41216.0	0.0224292
41344.0	0.0186003
41472.0	0.0168899
41600.0	0.0162512
41728.0	0.0157159
41856.0	0.0149906
41984.0	0.0152111
42112.0	0.0146222
42240.0	0.0145338
42368.0	0.0160142
42496.0	0.0231746
42624.0	0.0156155
42752.0	0.0148285
42880.0	0.0150258
43008.0	0.0144428
43136.0	0.016815
43264.0	0.0146825
43392.0	0.015569
43520.0	0.0141082
43648.0	0.0143106
43776.0	0.0143219
43904.0	0.0165134
44032.0	0.0126262
44160.0	0.012829
44288.0	0.0121292
44416.0	0.012666
44544.0	0.0123005
44672.0	0.0146146
44800.0	0.0117042
44928.0	0.0125229
45056.0	0.0112318
45184.0	0.0119295
45312.0	0.0106985
45440.0	0.0122823
45568.0	0.0104455
45696.0	0.0108677
45824.0	0.00933852
45952.0	0.00973079
46080.0	0.00960089
46208.0	0.0109401
46336.0	0.0101902
46464.0	0.0126689
46592.0	0.0087494
46720.0	0.0089012
46848.0	0.00799781
46976.0	0.00811477
47104.0	0.00739743
47232.0	0.00803812
47360.0	0.00806267
47488.0	0.0104756
47616.0	0.00954825
47744.0	0.0122639
47872.0	0.0072992
48000.0	0.00732225
48128.0	0.00664217
48256.0	0.00649332
48384.0	0.00631169
48512.0	0.00611957
48640.0	0.00577033
48768.0	0.0058073
48896.0	0.00563547
49024.0	0.00613737
49152.0	0.00592582
49280.0	0.00735702
49408.0	0.00739536
49536.0	0.010488
49664.0	0.0068722
49792.0	0.00645209
49920.0	0.00487755
50048.0	0.00431212
50176.0	0.00450514
50304.0	0.00436837
50432.0	0.00426977
50560.0	0.00400127
50688.0	0.00383966
50816.0	0.00377526
50944.0	0.0038218
51072.0	0.00369945
51200.0	0.00339967
51328.0	0.00348495
51456.0	0.00356372
51584.0	0.0044403
51712.0	0.00598056
51840.0	0.0119891
51968.0	0.00646031
52096.0	0.00573022
52224.0	0.00318401
52352.0	0.00288521
52480.0	0.00276522
52608.0	0.00289724
52736.0	0.0027775
52864.0	0.0027227
52992.0	0.00250047
53120.0	0.00263653
53248.0	0.0024482
53376.0	0.00255525
53504.0	0.00255628
53632.0	0.00240325
53760.0	0.00254106
53888.0	0.00233868
54016.0	0.00225841
54144.0	0.00250235
54272.0	0.00225008
54400.0	0.00280362
54528.0	0.00290691
54656.0	0.0051419
54784.0	0.00609546
54912.0	0.00920091
55040.0	0.00262826
55168.0	0.0019184
55296.0	0.00208264
55424.0	0.00186057
55552.0	0.00156267
55680.0	0.00176965
55808.0	0.00169783
55936.0	0.00154147
56064.0	0.00165846
56192.0	0.0017123
56320.0	0.00149148
56448.0	0.00142019
56576.0	0.00144438
56704.0	0.00132718
56832.0	0.00141327
56960.0	0.00144064
57088.0	0.00130174
57216.0	0.00140067
57344.0	0.00140463
57472.0	0.00127718
57600.0	0.00119784
57728.0	0.00121843
57856.0	0.00126375
57984.0	0.00111605
58112.0	0.00109934
58240.0	0.0010129
58368.0	0.00102809
58496.0	0.00114916
58624.0	0.00137776
58752.0	0.00263297
58880.0	0.00869055
59008.0	0.0180056
59136.0	0.00256395
59264.0	0.00200221
59392.0	0.00159049
59520.0	0.00123214
59648.0	0.00129516
59776.0	0.00108159
59904.0	0.000944088
60032.0	0.00126954
60160.0	0.00109035
60288.0	0.000962114
60416.0	0.00094239
60544.0	0.00099232
60672.0	0.000995287
60800.0	0.000998581
60928.0	0.00107338
61056.0	0.000894431
61184.0	0.000861574
61312.0	0.000897044
61440.0	0.000873008
61568.0	0.00082971
61696.0	0.00088833
61824.0	0.000855699
61952.0	0.000787159
62080.0	0.000808288
62208.0	0.000834346
62336.0	0.000842635
62464.0	0.000849156
62592.0	0.000777131
62720.0	0.000805856
62848.0	0.000763633
62976.0	0.000735
63104.0	0.000769706
63232.0	0.000649173
63360.0	0.00071981
63488.0	0.000774363
63616.0	0.000885951
63744.0	0.00216392
63872.0	0.0117209
64000.0	0.0127799
64128.0	0.00179192
64256.0	0.000795432
64384.0	0.000650047
64512.0	0.000669338
64640.0	0.000678307
64768.0	0.000640186
64896.0	0.000607281
65024.0	0.000511042
65152.0	0.000631627
65280.0	0.000557815
65408.0	0.00060247
65536.0	0.000552034
65664.0	0.000471882
65792.0	0.000585119
65920.0	0.000594915
66048.0	0.000533916
66176.0	0.000535863
66304.0	0.000504114
66432.0	0.000610943
66560.0	0.000439539
66688.0	0.000545245
66816.0	0.000541578
66944.0	0.000493185
67072.0	0.000498139
67200.0	0.000459304
67328.0	0.000460272
67456.0	0.000519936
67584.0	0.000414789
67712.0	0.000516107
67840.0	0.000472525
67968.0	0.000437298
68096.0	0.000443658
68224.0	0.000403187
68352.0	0.00039759
68480.0	0.000476201
68608.0	0.000405508
68736.0	0.000456161
68864.0	0.000409903
68992.0	0.000351706
69120.0	0.000364477
69248.0	0.000404388
69376.0	0.000427532
69504.0	0.000341764
69632.0	0.000388681
69760.0	0.000331586
69888.0	0.000320986
70016.0	0.00042241
70144.0	0.000406203
70272.0	0.00032082
70400.0	0.000326105
70528.0	0.000325518
70656.0	0.000323976
70784.0	0.000325326
70912.0	0.000386808
71040.0	0.000736735
71168.0	0.00310876
71296.0	0.0132452
71424.0	0.00223219
71552.0	0.000531
71680.0	0.00041298
71808.0	0.000323409
71936.0	0.000423909
72064.0	0.000411336
72192.0	0.000381094
72320.0	0.000359633
72448.0	0.000340207
72576.0	0.000335922
72704.0	0.000332102
72832.0	0.000437434
72960.0	0.00027047
73088.0	0.000305818
73216.0	0.000336602
73344.0	0.000280216
73472.0	0.000312382
73600.0	0.000321817
73728.0	0.000272716
73856.0	0.000309371
73984.0	0.000269509
74112.0	0.000272012
74240.0	0.000282647
74368.0	0.000221123
74496.0	0.000242661
74624.0	0.000278848
74752.0	0.000253763
74880.0	0.000232942
75008.0	0.000264423
75136.0	0.000246858
75264.0	0.00022051
75392.0	0.000262992
75520.0	0.000227089
75648.0	0.000233145
75776.0	0.000259939
75904.0	0.000265282
76032.0	0.000217694
76160.0	0.000254905
76288.0	0.000189627
76416.0	0.000210115
76544.0	0.000221277
76672.0	0.000229727
76800.0	0.000215624
76928.0	0.000229499
77056.0	0.000248608
77184.0	0.000217595
77312.0	0.000318524
77440.0	0.000626911
77568.0	0.00466882
77696.0	0.00960565
77824.0	0.00496065
77952.0	0.000583765
78080.0	0.000343841
78208.0	0.000305506
78336.0	0.00027666
78464.0	0.000240782
78592.0	0.000206254
78720.0	0.000180336
78848.0	0.00017412
78976.0	0.000175144
79104.0	0.000163728
79232.0	0.000196718
79360.0	0.000185319
79488.0	0.000200123
79616.0	0.000151873
79744.0	0.000193356
79872.0	0.000171353
80000.0	0.000167405
80128.0	0.000136635
80256.0	0.000148467
80384.0	0.000188002
80512.0	0.000175624
80640.0	0.000197015
80768.0	0.000146445
80896.0	0.000162082
81024.0	0.000180075
81152.0	0.000160018
81280.0	0.000180871
81408.0	0.000149344
81536.0	0.000154503
81664.0	0.00015567
81792.0	0.000155281
81920.0	0.000182932
82048.0	0.000158734
82176.0	0.000125162
82304.0	0.000135384
82432.0	0.000174945
82560.0	0.00012739
82688.0	0.000130574
82816.0	0.000135415
82944.0	0.000144106
83072.0	0.000127499
83200.0	0.000151738
83328.0	0.000146055
83456.0	0.000134044
83584.0	0.00011684
83712.0	0.000150515
83840.0	0.00013346
83968.0	0.000112977
84096.0	0.000132621
84224.0	0.000116413
84352.0	0.000115396
84480.0	0.000116225
84608.0	0.000145836
84736.0	0.00010634
84864.0	0.000115737
84992.0	0.000129582
85120.0	9.78512e-05
85248.0	8.49042e-05
85376.0	0.000102326
85504.0	0.000103842
85632.0	9.20363e-05
85760.0	0.000102074
85888.0	8.73078e-05
86016.0	9.57505e-05
86144.0	7.99724e-05
86272.0	8.8728e-05
86400.0	8.08428e-05
86528.0	9.93841e-05
86656.0	0.000121425
86784.0	0.000186888
86912.0	0.000593129
87040.0	0.00508601
87168.0	0.00146527
87296.0	0.000128834
87424.0	0.000113767
87552.0	0.000114449
87680.0	0.000144788
87808.0	9.70026e-05
87936.0	0.00010118
88064.0	8.56168e-05
88192.0	7.13208e-05
88320.0	8.65359e-05
88448.0	7.9338e-05
88576.0	9.59863e-05
88704.0	7.94865e-05
88832.0	6.97619e-05
88960.0	0.000102861
89088.0	8.18549e-05
89216.0	8.96547e-05
89344.0	8.05535e-05
89472.0	7.43129e-05
89600.0	7.05303e-05
89728.0	7.53044e-05
89856.0	7.43248e-05
89984.0	0.00010433
90112.0	7.13308e-05
90240.0	7.51753e-05
90368.0	6.11123e-05
90496.0	7.40224e-05
90624.0	6.86911e-05
90752.0	6.74228e-05
90880.0	6.46604e-05
91008.0	6.09707e-05
91136.0	7.21111e-05
91264.0	6.78289e-05
91392.0	8.45405e-05
91520.0	5.42392e-05
91648.0	7.4101e-05
91776.0	5.90744e-05
91904.0	5.88408e-05
92032.0	6.50875e-05
92160.0	6.18385e-05
92288.0	6.05631e-05
92416.0	5.88258e-05
92544.0	5.99002e-05
92672.0	7.61344e-05
92800.0	5.51976e-05
92928.0	5.44838e-05
93056.0	5.40287e-05
93184.0	5.43436e-05
93312.0	4.82443e-05
93440.0	3.73204e-05
93568.0	5.68943e-05
93696.0	7.58164e-05
93824.0	4.85765e-05
93952.0	5.49932e-05
94080.0	3.79172e-05
94208.0	4.57634e-05
94336.0	5.26552e-05
94464.0	4.79654e-05
94592.0	4.44379e-05
94720.0	3.60425e-05
94848.0	4.41635e-05
94976.0	5.18851e-05
95104.0	5.37834e-05
95232.0	5.14032e-05
95360.0	0.00010912
95488.0	0.000622044
95616.0	0.00439971
