########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

37760.0	0.0278814
37888.0	0.0276172
38016.0	0.0276278
38144.0	0.0274735
38272.0	0.0273572
38400.0	0.027353
38528.0	0.027047
38656.0	0.026998
38784.0	0.0267829
38912.0	0.0267468
39040.0	0.0265301
39168.0	0.0264716
39296.0	0.0262858
39424.0	0.0263528
39552.0	0.0261335
39680.0	0.026041
39808.0	0.0259499
39936.0	0.0258695
40064.0	0.0256854
40192.0	0.0257114
40320.0	0.0255624
40448.0	0.0255342
40576.0	0.0254762
40704.0	0.025252
40832.0	0.0251589
40960.0	0.0250852
41088.0	0.0251032
41216.0	0.0250887
41344.0	0.024911
41472.0	0.0248385
41600.0	0.0247967
41728.0	0.0246693
41856.0	0.0246018
41984.0	0.024597
42112.0	0.0243911
42240.0	0.0244503
42368.0	0.0243372
42496.0	0.0242263
42624.0	0.0242518
42752.0	0.0241116
42880.0	0.0239638
43008.0	0.023892
43136.0	0.0238977
43264.0	0.0237855
43392.0	0.0237372
43520.0	0.0236519
43648.0	0.0235943
43776.0	0.0234451
43904.0	0.0235225
44032.0	0.0237587
44160.0	0.0240194
44288.0	0.0239313
44416.0	0.0244315
44544.0	0.0257321
44672.0	0.0254475
44800.0	0.0253133
44928.0	0.0249065
45056.0	0.0232093
45184.0	0.023054
45312.0	0.0228425
45440.0	0.0229298
45568.0	0.0228063
45696.0	0.0227681
45824.0	0.0226891
45952.0	0.022682
46080.0	0.0226174
46208.0	0.0226048
46336.0	0.0225126
46464.0	0.022442
46592.0	0.0225281
46720.0	0.0225419
46848.0	0.0230224
46976.0	0.0235467
47104.0	0.0237343
47232.0	0.027714
47360.0	0.0367472
47488.0	0.0305496
47616.0	0.0221708
47744.0	0.022118
47872.0	0.0221201
48000.0	0.0220951
48128.0	0.0219726
48256.0	0.021998
48384.0	0.0219331
48512.0	0.021982
48640.0	0.021885
48768.0	0.0219291
48896.0	0.0218144
49024.0	0.0219091
49152.0	0.0218299
49280.0	0.0218001
49408.0	0.0217719
49536.0	0.0217491
49664.0	0.0217373
49792.0	0.0216771
49920.0	0.0216707
50048.0	0.0216253
50176.0	0.0215627
50304.0	0.021658
50432.0	0.0215684
50560.0	0.021546
50688.0	0.0215034
50816.0	0.0215278
50944.0	0.0215244
51072.0	0.021489
51200.0	0.0214549
51328.0	0.0214263
51456.0	0.0214136
51584.0	0.0213232
51712.0	0.0213658
51840.0	0.0213812
51968.0	0.0213541
52096.0	0.0215286
52224.0	0.0215248
52352.0	0.021209
52480.0	0.0220329
52608.0	0.0229394
52736.0	0.0225975
52864.0	0.0216546
52992.0	0.0212213
53120.0	0.02124
53248.0	0.0209009
53376.0	0.0217385
53504.0	0.0211585
53632.0	0.0212149
53760.0	0.0211158
53888.0	0.0209951
54016.0	0.0212206
54144.0	0.0211436
54272.0	0.0210878
54400.0	0.0210405
54528.0	0.0210511
54656.0	0.0209788
54784.0	0.0209666
54912.0	0.0207938
55040.0	0.0206753
55168.0	0.022226
55296.0	0.0337236
55424.0	0.0230558
55552.0	0.0212225
55680.0	0.0211127
55808.0	0.0210247
55936.0	0.0210291
56064.0	0.0209445
56192.0	0.0209464
56320.0	0.0209255
56448.0	0.0209545
56576.0	0.0209123
56704.0	0.0209216
56832.0	0.0212522
56960.0	0.020944
57088.0	0.0209007
57216.0	0.0208864
57344.0	0.0208841
57472.0	0.0208871
57600.0	0.0208376
57728.0	0.0208677
57856.0	0.0208318
57984.0	0.0208176
58112.0	0.0208191
58240.0	0.0208099
58368.0	0.0208124
58496.0	0.0207798
58624.0	0.020732
58752.0	0.020655
58880.0	0.0211273
59008.0	0.0209831
59136.0	0.0207652
59264.0	0.0207246
59392.0	0.0207377
59520.0	0.0207245
59648.0	0.0202625
59776.0	0.0205877
59904.0	0.0211173
60032.0	0.0207421
60160.0	0.0207954
60288.0	0.0207571
60416.0	0.0207369
60544.0	0.0207151
60672.0	0.0207138
60800.0	0.0207269
60928.0	0.0207093
61056.0	0.0206709
61184.0	0.0206718
61312.0	0.0206459
61440.0	0.0206797
61568.0	0.0207233
61696.0	0.0206589
61824.0	0.0206008
61952.0	0.0204315
62080.0	0.0203466
62208.0	0.0226294
62336.0	0.0219696
62464.0	0.0206963
62592.0	0.0205677
62720.0	0.0206712
62848.0	0.0206068
62976.0	0.0206314
63104.0	0.0206433
63232.0	0.0205479
63360.0	0.0203901
63488.0	0.0202968
63616.0	0.0207267
63744.0	0.0207295
63872.0	0.0210443
64000.0	0.0206767
64128.0	0.0205859
64256.0	0.0205658
64384.0	0.0205692
64512.0	0.0205937
64640.0	0.0205732
64768.0	0.0206022
64896.0	0.0205964
65024.0	0.0206113
65152.0	0.0205615
65280.0	0.0204926
65408.0	0.0203631
65536.0	0.0199461
65664.0	0.0210659
65792.0	0.0207809
65920.0	0.0207208
66048.0	0.0206845
66176.0	0.0205544
66304.0	0.0205665
66432.0	0.020539
66560.0	0.0204991
66688.0	0.0205259
66816.0	0.0205242
66944.0	0.020517
67072.0	0.0205083
67200.0	0.020543
67328.0	0.0205373
67456.0	0.0205313
67584.0	0.020521
67712.0	0.0205286
67840.0	0.0205147
67968.0	0.0205221
68096.0	0.0205096
68224.0	0.0204992
68352.0	0.0204465
68480.0	0.0204706
68608.0	0.0205874
68736.0	0.0205501
68864.0	0.0206112
68992.0	0.0205649
69120.0	0.020523
69248.0	0.0204806
69376.0	0.0204922
69504.0	0.0205049
69632.0	0.0204895
69760.0	0.0204956
69888.0	0.0205254
70016.0	0.0204772
70144.0	0.0204851
70272.0	0.0204983
70400.0	0.0204692
70528.0	0.0205111
70656.0	0.0204551
70784.0	0.020484
70912.0	0.0204785
71040.0	0.0204894
71168.0	0.020478
71296.0	0.020493
71424.0	0.0204624
71552.0	0.0205012
71680.0	0.0204782
71808.0	0.0204744
71936.0	0.0205045
72064.0	0.0204893
72192.0	0.020452
72320.0	0.0204489
72448.0	0.0204657
72576.0	0.0204731
72704.0	0.0204265
72832.0	0.0204598
72960.0	0.0204683
73088.0	0.0204526
73216.0	0.0204794
73344.0	0.0205273
73472.0	0.020592
73600.0	0.020506
73728.0	0.0204152
73856.0	0.0204782
73984.0	0.020447
74112.0	0.0204597
74240.0	0.020451
74368.0	0.0204387
74496.0	0.0204427
74624.0	0.0204893
74752.0	0.0204876
74880.0	0.020461
75008.0	0.0204739
75136.0	0.0204086
75264.0	0.0201194
75392.0	0.0202182
75520.0	0.0202649
75648.0	0.0202755
75776.0	0.0220861
75904.0	0.0202928
76032.0	0.0204017
76160.0	0.020071
76288.0	0.0205415
76416.0	0.0212759
76544.0	0.0204244
76672.0	0.0204445
76800.0	0.0204405
76928.0	0.0201894
77056.0	0.0221021
77184.0	0.0211986
77312.0	0.0206509
77440.0	0.0204702
77568.0	0.0204651
77696.0	0.020423
77824.0	0.0204558
77952.0	0.0204446
78080.0	0.020445
78208.0	0.0204564
78336.0	0.0204394
78464.0	0.0204361
78592.0	0.0204605
78720.0	0.020418
78848.0	0.0204432
78976.0	0.0204473
79104.0	0.0204382
79232.0	0.0204474
79360.0	0.0204552
79488.0	0.0204315
79616.0	0.0204472
79744.0	0.0204388
79872.0	0.0204414
80000.0	0.02041
80128.0	0.0204395
80256.0	0.0204389
80384.0	0.0204567
80512.0	0.020429
80640.0	0.0204418
80768.0	0.0204121
80896.0	0.0204681
81024.0	0.0203702
81152.0	0.0204354
81280.0	0.0204148
81408.0	0.0204616
81536.0	0.0204167
81664.0	0.0204394
81792.0	0.0204138
81920.0	0.0204276
82048.0	0.0204444
82176.0	0.0204144
82304.0	0.0204025
82432.0	0.0204034
82560.0	0.0204198
82688.0	0.0204208
82816.0	0.0204421
82944.0	0.02037
83072.0	0.0207624
83200.0	0.0202669
83328.0	0.0212357
83456.0	0.0205034
83584.0	0.0204275
83712.0	0.0203821
83840.0	0.0202723
83968.0	0.020245
84096.0	0.0203163
84224.0	0.0201448
84352.0	0.0202752
84480.0	0.0214718
84608.0	0.0206791
84736.0	0.0204533
84864.0	0.0204188
84992.0	0.0204143
85120.0	0.0204032
85248.0	0.0203741
85376.0	0.0204191
85504.0	0.02042
85632.0	0.0204484
85760.0	0.0204032
85888.0	0.0204278
86016.0	0.020408
86144.0	0.0204152
86272.0	0.0204157
86400.0	0.0203801
86528.0	0.0204565
86656.0	0.020418
86784.0	0.0204208
86912.0	0.0204444
87040.0	0.0204066
87168.0	0.0204188
87296.0	0.0203977
87424.0	0.0204023
87552.0	0.0204585
87680.0	0.0204185
87808.0	0.0204096
87936.0	0.0204469
88064.0	0.0204225
88192.0	0.0203858
88320.0	0.0204156
88448.0	0.0204269
88576.0	0.0204062
88704.0	0.020397
88832.0	0.020438
88960.0	0.0204307
89088.0	0.0202852
89216.0	0.0198719
89344.0	0.0236659
89472.0	0.02085
89600.0	0.021265
89728.0	0.020329
89856.0	0.0202094
89984.0	0.0201754
