########

	Model: LSTM with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

38016.0	0.0724084
38144.0	0.0717608
38272.0	0.0712731
38400.0	0.0708892
38528.0	0.0704102
38656.0	0.0700247
38784.0	0.0696155
38912.0	0.0691417
39040.0	0.0687048
39168.0	0.0683176
39296.0	0.0679569
39424.0	0.0676073
39552.0	0.0673326
39680.0	0.0669551
39808.0	0.0666732
39936.0	0.0664946
40064.0	0.0660783
40192.0	0.0657608
40320.0	0.0667406
40448.0	0.069129
40576.0	0.0680886
40704.0	0.0673279
40832.0	0.066578
40960.0	0.0659761
41088.0	0.0652259
41216.0	0.0652878
41344.0	0.0649131
41472.0	0.0645966
41600.0	0.0641371
41728.0	0.061948
41856.0	0.0803851
41984.0	0.066853
42112.0	0.0601523
42240.0	0.0607543
42368.0	0.0661352
42496.0	0.0663402
42624.0	0.0702087
42752.0	0.073114
42880.0	0.07009
43008.0	0.0690984
43136.0	0.0683086
43264.0	0.0675008
43392.0	0.0668287
43520.0	0.0661226
43648.0	0.0655305
43776.0	0.065098
43904.0	0.0646221
44032.0	0.0642612
44160.0	0.0639923
44288.0	0.0636376
44416.0	0.0632996
44544.0	0.0630515
44672.0	0.0627306
44800.0	0.0624068
44928.0	0.0621719
45056.0	0.0618588
45184.0	0.0614638
45312.0	0.0610391
45440.0	0.0606827
45568.0	0.0602464
45696.0	0.0598248
45824.0	0.059334
45952.0	0.0587551
46080.0	0.0581968
46208.0	0.057597
46336.0	0.0568968
46464.0	0.0568425
46592.0	0.0721067
46720.0	0.0699584
46848.0	0.0687623
46976.0	0.0691388
47104.0	0.0648498
47232.0	0.0686154
47360.0	0.0628434
47488.0	0.0628586
47616.0	0.0617806
47744.0	0.0608259
47872.0	0.06001
48000.0	0.0597128
48128.0	0.0589171
48256.0	0.0580264
48384.0	0.0571574
48512.0	0.0562771
48640.0	0.0553549
48768.0	0.0544227
48896.0	0.0533904
49024.0	0.0526513
49152.0	0.0516689
49280.0	0.0506855
49408.0	0.0496514
49536.0	0.0486791
49664.0	0.0476029
49792.0	0.0464283
49920.0	0.0452292
50048.0	0.0440084
50176.0	0.0429342
50304.0	0.0415752
50432.0	0.0406714
50560.0	0.046962
50688.0	0.0718147
50816.0	0.0467824
50944.0	0.0418188
51072.0	0.0480194
51200.0	0.106628
51328.0	0.0970989
51456.0	0.0585064
51584.0	0.0580935
51712.0	0.0602111
51840.0	0.0589206
51968.0	0.0574428
52096.0	0.0559292
52224.0	0.0540251
52352.0	0.0515064
52480.0	0.04894
52608.0	0.0462877
52736.0	0.0442449
52864.0	0.0431306
52992.0	0.0458294
53120.0	0.0519143
53248.0	0.0476189
53376.0	0.0452447
53504.0	0.0434336
