########

	Model: LSTM with 8529 parameters on

#Task:
# Copying Task with T=200

########

0	2.601442
128	2.586680
256	2.572429
384	2.556053
512	2.539549
640	2.522395
768	2.505383
896	2.487559
1024	2.466737
1152	2.447260
1280	2.425870
1408	2.402858
1536	2.380097
1664	2.356960
1792	2.331137
1920	2.305621
2048	2.278751
2176	2.250207
2304	2.221362
2432	2.190373
2560	2.162959
2688	2.131573
2816	2.103277
2944	2.073431
3072	2.044439
3200	2.015377
3328	1.985208
3456	1.956729
3584	1.928173
3712	1.899833
3840	1.871639
3968	1.843158
4096	1.814678
4224	1.786807
4352	1.756581
4480	1.728556
4608	1.701173
4736	1.671733
4864	1.641653
4992	1.614337
5120	1.584504
5248	1.555410
5376	1.525048
5504	1.493858
5632	1.465807
5760	1.435398
5888	1.404573
6016	1.374274
6144	1.344896
6272	1.313626
6400	1.283251
6528	1.252707
6656	1.223011
6784	1.191188
6912	1.161787
7040	1.131258
7168	1.100258
7296	1.069077
7424	1.039161
7552	1.010215
7680	0.980817
7808	0.951564
7936	0.921532
8064	0.893008
8192	0.863825
8320	0.836155
8448	0.808905
8576	0.782427
8704	0.755961
8832	0.729619
8960	0.706431
9088	0.682141
9216	0.659894
9344	0.636911
9472	0.615338
9600	0.594692
9728	0.576476
9856	0.558314
9984	0.538409
10112	0.522946
10240	0.508320
10368	0.493164
10496	0.479976
10624	0.466348
10752	0.455187
10880	0.444307
11008	0.435523
11136	0.424771
11264	0.415787
11392	0.406766
11520	0.400514
11648	0.394139
11776	0.386776
11904	0.380990
12032	0.376801
12160	0.370966
12288	0.367909
12416	0.362547
12544	0.359182
12672	0.356627
12800	0.352258
12928	0.350098
13056	0.347394
13184	0.345901
13312	0.342586
13440	0.341522
13568	0.338376
13696	0.337592
13824	0.335820
13952	0.334945
14080	0.333373
14208	0.331736
14336	0.332347
14464	0.330469
14592	0.329083
14720	0.328637
14848	0.327283
14976	0.327274
15104	0.326488
15232	0.325486
15360	0.324559
15488	0.323828
15616	0.323229
15744	0.322844
15872	0.321735
16000	0.320646
16128	0.319390
16256	0.318949
16384	0.318682
16512	0.318375
16640	0.317603
16768	0.316914
16896	0.316990
17024	0.316032
17152	0.315016
17280	0.314054
17408	0.314299
17536	0.313170
17664	0.312565
17792	0.312284
17920	0.311578
18048	0.311187
18176	0.310174
18304	0.310036
18432	0.309605
