########

	Model: LSTM with 7323 parameters on

#Task:
# Copying Task with T=200

########

50560	0.052705
50688	0.052271
50816	0.051780
50944	0.051352
51072	0.050745
51200	0.050433
51328	0.050194
51456	0.049592
51584	0.049077
51712	0.048812
51840	0.048518
51968	0.048024
52096	0.047746
52224	0.047402
52352	0.046995
52480	0.046660
52608	0.046291
52736	0.045660
52864	0.045469
52992	0.045047
53120	0.045789
53248	0.065231
53376	0.149655
53504	0.083724
53632	0.047105
53760	0.046416
53888	0.045768
54016	0.045549
54144	0.045276
54272	0.045065
54400	0.044722
54528	0.044496
54656	0.044241
54784	0.043981
54912	0.043524
55040	0.043171
55168	0.042846
55296	0.042099
55424	0.046988
55552	0.063992
55680	0.049452
55808	0.044230
55936	0.043842
56064	0.043587
56192	0.043474
56320	0.043140
56448	0.042949
56576	0.042697
56704	0.042511
56832	0.042272
56960	0.042127
57088	0.041842
57216	0.041773
57344	0.041523
57472	0.041197
57600	0.041036
57728	0.040933
57856	0.040696
57984	0.040527
58112	0.040234
58240	0.040240
58368	0.040050
58496	0.040150
58624	0.041458
58752	0.047397
58880	0.050704
59008	0.059627
59136	0.042307
59264	0.040854
59392	0.040537
59520	0.040499
59648	0.040250
59776	0.040038
59904	0.039804
60032	0.039630
60160	0.039407
60288	0.039251
60416	0.039062
60544	0.038871
60672	0.038638
60800	0.038344
60928	0.038386
61056	0.038188
61184	0.038010
61312	0.037728
61440	0.037604
61568	0.037523
61696	0.037257
61824	0.037143
61952	0.036896
62080	0.037249
62208	0.084013
62336	0.282854
62464	0.070705
62592	0.044153
62720	0.040088
62848	0.038081
62976	0.037352
63104	0.037223
63232	0.037246
63360	0.037086
63488	0.037070
63616	0.037098
63744	0.036951
63872	0.036950
64000	0.036907
64128	0.036819
64256	0.036810
64384	0.036830
64512	0.036773
64640	0.036657
64768	0.036597
64896	0.036574
65024	0.036612
65152	0.036511
65280	0.036424
65408	0.036306
65536	0.036341
65664	0.036289
65792	0.036226
65920	0.036223
66048	0.036546
66176	0.037642
66304	0.043995
66432	0.036054
66560	0.036066
66688	0.035912
66816	0.035882
66944	0.035861
67072	0.035882
67200	0.035764
67328	0.035779
67456	0.035673
67584	0.035553
67712	0.035862
67840	0.036555
67968	0.041106
68096	0.036480
68224	0.036912
68352	0.035513
68480	0.035437
68608	0.035249
68736	0.035191
68864	0.035114
68992	0.035023
69120	0.035010
69248	0.035128
69376	0.035193
69504	0.036239
69632	0.036646
69760	0.040888
69888	0.035677
70016	0.035096
70144	0.034679
70272	0.034624
70400	0.034449
70528	0.034491
70656	0.034433
70784	0.034376
70912	0.034267
71040	0.034255
71168	0.034201
71296	0.034242
71424	0.034116
71552	0.034229
71680	0.034415
71808	0.035299
71936	0.036201
72064	0.326375
72192	0.062086
72320	0.180132
72448	0.064953
72576	0.050365
72704	0.046988
72832	0.045000
72960	0.042992
73088	0.041565
73216	0.040196
73344	0.038851
73472	0.038328
73600	0.037569
73728	0.036919
73856	0.036373
73984	0.035824
74112	0.035416
74240	0.035128
74368	0.035139
74496	0.034899
74624	0.034810
74752	0.034672
74880	0.034667
75008	0.034505
75136	0.034440
75264	0.034479
75392	0.034445
75520	0.034342
75648	0.034291
75776	0.034468
75904	0.034398
76032	0.034343
76160	0.034365
76288	0.034270
76416	0.034225
76544	0.034237
76672	0.034272
76800	0.034212
76928	0.034142
77056	0.034115
77184	0.034141
77312	0.034152
77440	0.034198
77568	0.034102
77696	0.034108
77824	0.033973
77952	0.034041
78080	0.033858
78208	0.033974
78336	0.033837
78464	0.033933
78592	0.033849
78720	0.033866
78848	0.033776
78976	0.033832
79104	0.033773
79232	0.033675
79360	0.033671
79488	0.033680
79616	0.033645
79744	0.033642
79872	0.033590
80000	0.033499
80128	0.033542
80256	0.033502
80384	0.033419
80512	0.033390
80640	0.033362
80768	0.033381
80896	0.033365
81024	0.033329
81152	0.033238
81280	0.033186
81408	0.033239
81536	0.033349
81664	0.034045
81792	0.035837
81920	0.045771
82048	0.033323
82176	0.033299
82304	0.033239
82432	0.033191
82560	0.033129
82688	0.033128
82816	0.033058
82944	0.033047
83072	0.032964
83200	0.033019
83328	0.032942
83456	0.032907
83584	0.032935
83712	0.032915
83840	0.032869
83968	0.032854
84096	0.032824
84224	0.032773
84352	0.032761
84480	0.032775
84608	0.032745
84736	0.032698
84864	0.032643
84992	0.032661
85120	0.032631
85248	0.032615
85376	0.032587
85504	0.032494
85632	0.032530
85760	0.032575
85888	0.032598
86016	0.032782
86144	0.033256
86272	0.034928
86400	0.034188
86528	0.048607
86656	0.325316
86784	0.057947
86912	0.034846
87040	0.034397
87168	0.033982
87296	0.033500
87424	0.033219
87552	0.033046
87680	0.032923
87808	0.032919
87936	0.032748
88064	0.032741
88192	0.032680
88320	0.032643
88448	0.032519
88576	0.032500
88704	0.032543
88832	0.032548
88960	0.032524
89088	0.032460
89216	0.032505
89344	0.032509
89472	0.032490
89600	0.032458
89728	0.032465
89856	0.032447
89984	0.032475
90112	0.032457
90240	0.032427
90368	0.032495
90496	0.032610
90624	0.032454
90752	0.032475
90880	0.032481
91008	0.032397
91136	0.032426
91264	0.032401
91392	0.032424
91520	0.032448
91648	0.032908
91776	0.032524
91904	0.032457
92032	0.032391
92160	0.032393
92288	0.032362
92416	0.032354
92544	0.032350
92672	0.032353
92800	0.032303
92928	0.032319
93056	0.032380
93184	0.032318
93312	0.032345
93440	0.032296
93568	0.032329
93696	0.032289
93824	0.032468
93952	0.032267
94080	0.032268
94208	0.032243
94336	0.032284
94464	0.032247
94592	0.032234
94720	0.032179
94848	0.032566
94976	0.032224
95104	0.032181
95232	0.032200
95360	0.032141
95488	0.032182
95616	0.032126
95744	0.032183
95872	0.032028
96000	0.032094
96128	0.032074
96256	0.032130
96384	0.032041
96512	0.032104
96640	0.032130
96768	0.032464
96896	0.032927
97024	0.036846
97152	0.034710
97280	0.032305
97408	0.032179
97536	0.032169
97664	0.032158
97792	0.032122
97920	0.032065
98048	0.032066
98176	0.032103
98304	0.031991
98432	0.032065
98560	0.031960
98688	0.032023
